2022-07-12 13:36:24,192 - 28176:11472 - [INFO][InitData] Already has init value
2022-07-12 13:36:24,192 - 28176:11472 - [INFO][InitData] Already has init value
2022-07-12 13:36:24,193 - 28176:12496 - [INFO][InitData] Already has init value
2022-07-12 13:36:24,193 - 28176:12496 - [INFO][InitData] Already has init value
2022-07-12 13:38:24,265 - 28176:29456 - [INFO][Request] {'method': 'PUT', 'path': '/api/device/eojs/027901/epcs/E0', 'params': {'edt': '0911'}, 'result': 0, 'code': 200, 'data': {'changed': {'E0': '0911'}}}
2022-07-12 13:38:24,265 - 28176:29456 - [INFO][Request] {'method': 'PUT', 'path': '/api/device/eojs/027901/epcs/E0', 'params': {'edt': '0911'}, 'result': 0, 'code': 200, 'data': {'changed': {'E0': '0911'}}}
2022-07-12 13:38:24,265 - 28176:4084 - [INFO][Request] {'method': 'PUT', 'path': '/api/device/eojs/027902/epcs/E0', 'params': {'edt': '0422'}, 'result': 0, 'code': 200, 'data': {'changed': {'E0': '0422'}}}
2022-07-12 13:38:24,265 - 28176:4084 - [INFO][Request] {'method': 'PUT', 'path': '/api/device/eojs/027902/epcs/E0', 'params': {'edt': '0422'}, 'result': 0, 'code': 200, 'data': {'changed': {'E0': '0422'}}}
2022-07-12 13:38:24,265 - 28176:29456 - [INFO][Request] {'method': 'PUT', 'path': '/api/device/eojs/027901/epcs/E0', 'params': {'edt': '0911'}, 'result': 0, 'code': 200, 'data': {'changed': {'E0': '0911'}}}
2022-07-12 13:38:24,265 - 28176:29456 - [INFO][Request] {'method': 'PUT', 'path': '/api/device/eojs/027901/epcs/E0', 'params': {'edt': '0911'}, 'result': 0, 'code': 200, 'data': {'changed': {'E0': '0911'}}}
2022-07-12 13:38:24,265 - 28176:4084 - [INFO][Request] {'method': 'PUT', 'path': '/api/device/eojs/027902/epcs/E0', 'params': {'edt': '0422'}, 'result': 0, 'code': 200, 'data': {'changed': {'E0': '0422'}}}
2022-07-12 13:38:24,265 - 28176:4084 - [INFO][Request] {'method': 'PUT', 'path': '/api/device/eojs/027902/epcs/E0', 'params': {'edt': '0422'}, 'result': 0, 'code': 200, 'data': {'changed': {'E0': '0422'}}}
2022-07-12 13:38:24,265 - 28176:29456 - [INFO][Request] {'method': 'PUT', 'path': '/api/device/eojs/027901/epcs/E0', 'params': {'edt': '0911'}, 'result': 0, 'code': 200, 'data': {'changed': {'E0': '0911'}}}
2022-07-12 13:38:24,265 - 28176:29456 - [INFO][Request] {'method': 'PUT', 'path': '/api/device/eojs/027901/epcs/E0', 'params': {'edt': '0911'}, 'result': 0, 'code': 200, 'data': {'changed': {'E0': '0911'}}}
2022-07-12 13:38:24,265 - 28176:4084 - [INFO][Request] {'method': 'PUT', 'path': '/api/device/eojs/027902/epcs/E0', 'params': {'edt': '0422'}, 'result': 0, 'code': 200, 'data': {'changed': {'E0': '0422'}}}
2022-07-12 13:38:24,265 - 28176:4084 - [INFO][Request] {'method': 'PUT', 'path': '/api/device/eojs/027902/epcs/E0', 'params': {'edt': '0422'}, 'result': 0, 'code': 200, 'data': {'changed': {'E0': '0422'}}}
2022-07-12 13:38:24,265 - 28176:29456 - [INFO][Request] {'method': 'PUT', 'path': '/api/device/eojs/027901/epcs/E0', 'params': {'edt': '0911'}, 'result': 0, 'code': 200, 'data': {'changed': {'E0': '0911'}}}
